timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1637178089567,21,Petición HTTP,200,OK,final_test 1-7,text,true,,11228,116,19,19,http://192.168.100.4/,9,0,0
1637178089568,21,Petición HTTP,200,OK,final_test 1-11,text,true,,11228,116,20,20,http://192.168.100.4/,8,0,0
1637178089570,20,Petición HTTP,200,OK,final_test 1-8,text,true,,11228,116,20,20,http://192.168.100.4/,8,0,0
1637178089560,30,Petición HTTP,200,OK,final_test 1-18,text,true,,11229,116,20,20,http://192.168.100.4/,18,0,12
1637178089572,19,Petición HTTP,200,OK,final_test 1-6,text,true,,11228,116,20,20,http://192.168.100.4/,7,0,0
1637178089572,21,Petición HTTP,200,OK,final_test 1-13,text,true,,11228,116,20,20,http://192.168.100.4/,7,0,0
1637178089572,21,Petición HTTP,200,OK,final_test 1-2,text,true,,11228,116,20,20,http://192.168.100.4/,7,0,0
1637178089573,20,Petición HTTP,200,OK,final_test 1-4,text,true,,11228,116,20,20,http://192.168.100.4/,7,0,0
1637178089575,20,Petición HTTP,200,OK,final_test 1-1,text,true,,11228,116,19,19,http://192.168.100.4/,5,0,0
1637178089574,21,Petición HTTP,200,OK,final_test 1-12,text,true,,11228,116,20,20,http://192.168.100.4/,6,0,0
1637178089575,21,Petición HTTP,200,OK,final_test 1-3,text,true,,11228,116,20,20,http://192.168.100.4/,6,0,0
1637178089580,18,Petición HTTP,200,OK,final_test 1-5,text,true,,11228,116,19,19,http://192.168.100.4/,3,0,0
1637178089581,18,Petición HTTP,200,OK,final_test 1-10,text,true,,11228,116,19,19,http://192.168.100.4/,5,0,0
1637178089582,17,Petición HTTP,200,OK,final_test 1-15,text,true,,11228,116,18,18,http://192.168.100.4/,6,0,0
1637178089590,10,Petición HTTP,200,OK,final_test 1-21,text,true,,11229,116,18,18,http://192.168.100.4/,9,0,7
1637178089579,21,Petición HTTP,200,OK,final_test 1-20,text,true,,11229,116,18,18,http://192.168.100.4/,9,0,4
1637178089583,18,Petición HTTP,200,OK,final_test 1-14,text,true,,11228,116,18,18,http://192.168.100.4/,6,0,0
1637178089585,17,Petición HTTP,200,OK,final_test 1-19,text,true,,11228,116,17,17,http://192.168.100.4/,8,0,0
1637178089588,14,Petición HTTP,200,OK,final_test 1-16,text,true,,11228,116,17,17,http://192.168.100.4/,8,0,0
1637178089595,8,Petición HTTP,200,OK,final_test 1-1,text,true,,11228,116,17,17,http://192.168.100.4/,4,0,0
1637178089595,10,Petición HTTP,200,OK,final_test 1-22,text,true,,11229,116,16,16,http://192.168.100.4/,10,0,4
1637178089600,6,Petición HTTP,200,OK,final_test 1-21,text,true,,11228,116,16,16,http://192.168.100.4/,6,0,0
1637178089600,7,Petición HTTP,200,OK,final_test 1-20,text,true,,11228,116,16,16,http://192.168.100.4/,7,0,0
1637178089603,6,Petición HTTP,200,OK,final_test 1-16,text,true,,11228,116,17,17,http://192.168.100.4/,5,0,0
1637178089608,3,Petición HTTP,200,OK,final_test 1-20,text,true,,11228,116,17,17,http://192.168.100.4/,3,0,0
1637178089606,5,Petición HTTP,200,OK,final_test 1-21,text,true,,11228,116,17,17,http://192.168.100.4/,5,0,0
1637178089602,10,Petición HTTP,200,OK,final_test 1-19,text,true,,11228,116,17,17,http://192.168.100.4/,10,0,0
1637178089600,12,Petición HTTP,200,OK,final_test 1-15,text,true,,11228,116,17,17,http://192.168.100.4/,11,0,0
1637178089611,2,Petición HTTP,200,OK,final_test 1-20,text,true,,11228,116,17,17,http://192.168.100.4/,2,0,0
1637178089611,3,Petición HTTP,200,OK,final_test 1-21,text,true,,11228,116,17,17,http://192.168.100.4/,3,0,0
